ticket_id,timestamp,category,priority,resolution_time_hrs,customer_sentiment
TICK-104759,2025-03-25 17:31:31.206641,Shipping Update,Low,1.33,Neutral
TICK-105316,2025-03-25 18:19:24.811023,Shipping Update,Medium,0.55,Negative
TICK-108076,2025-03-25 18:55:56.007859,Technical Issue,Medium,23.22,Negative
TICK-106285,2025-03-25 20:56:33.997420,Shipping Update,Low,0.78,Neutral
TICK-106145,2025-03-25 21:04:04.360693,Refund Request,Low,1.83,Neutral
TICK-100928,2025-03-25 22:10:41.107656,Refund Request,Low,3.74,Negative
TICK-107270,2025-03-25 22:43:48.204434,Technical Issue,Medium,12.07,Positive
TICK-108823,2025-03-26 00:31:28.959272,Technical Issue,Low,18.51,Negative
TICK-105369,2025-03-26 00:42:38.010137,Refund Request,Low,3.78,Neutral
TICK-100528,2025-03-26 01:08:12.877173,Product Question,Low,3.33,Neutral
TICK-108794,2025-03-26 02:02:51.941693,Product Question,Low,1.89,Negative
TICK-100459,2025-03-26 02:14:17.166484,Product Question,Low,1.86,Negative
TICK-100642,2025-03-26 02:24:40.921076,Refund Request,Medium,1.8,Negative
TICK-101038,2025-03-26 06:13:58.315202,Billing Inquiry,Low,5.47,Positive
TICK-106572,2025-03-26 06:57:21.114274,Shipping Update,Low,2.36,Neutral
TICK-102668,2025-03-26 07:05:28.673918,Product Question,Low,3.74,Positive
TICK-107983,2025-03-26 08:54:00.086415,Shipping Update,Low,2.13,Negative
TICK-108693,2025-03-26 10:09:17.972730,Shipping Update,Medium,0.95,Neutral
TICK-105036,2025-03-26 10:40:07.230857,Refund Request,Low,4.79,Negative
TICK-106306,2025-03-26 10:57:33.463866,Product Question,Low,2.17,Negative
TICK-107406,2025-03-26 11:57:21.761405,Product Question,Low,2.58,Negative
TICK-109135,2025-03-26 13:12:46.690616,Technical Issue,Medium,19.4,Negative
TICK-109182,2025-03-26 13:21:55.944706,Shipping Update,High,0.92,Neutral
TICK-107034,2025-03-26 13:41:24.099560,Shipping Update,Medium,1.9,Negative
TICK-107680,2025-03-26 14:10:36.779223,Shipping Update,Medium,1.24,Neutral
TICK-107854,2025-03-26 14:59:59.784944,Technical Issue,Low,16.08,Positive
TICK-101928,2025-03-26 15:07:01.170120,Shipping Update,High,1.55,Neutral
TICK-102982,2025-03-26 15:23:40.082229,Shipping Update,Low,1.34,Positive
TICK-106506,2025-03-26 15:26:36.967272,Shipping Update,Low,1.66,Neutral
TICK-103229,2025-03-26 16:39:52.118693,Shipping Update,Low,0.98,Positive
TICK-105225,2025-03-26 18:06:55.098218,Product Question,Low,1.95,Neutral
TICK-106155,2025-03-26 19:12:53.805512,Billing Inquiry,Low,5.98,Neutral
TICK-103268,2025-03-26 19:16:26.502172,Shipping Update,Low,1.1,Neutral
TICK-101255,2025-03-26 20:01:18.384251,Shipping Update,Low,0.62,Negative
TICK-100025,2025-03-26 21:37:53.249285,Refund Request,Medium,2.09,Neutral
TICK-103648,2025-03-26 22:03:25.691692,Shipping Update,Medium,1.37,Positive
TICK-107386,2025-03-26 23:24:13.327352,Product Question,Medium,2.64,Negative
TICK-101052,2025-03-27 00:36:02.586755,Shipping Update,Low,1.22,Neutral
TICK-107051,2025-03-27 00:36:23.662361,Shipping Update,Low,1.17,Neutral
TICK-109494,2025-03-27 00:59:55.836715,Shipping Update,Low,0.69,Neutral
TICK-101356,2025-03-27 01:50:22.799333,Shipping Update,Low,0.8,Neutral
TICK-107290,2025-03-27 02:00:35.273735,Product Question,High,0.92,Negative
TICK-103191,2025-03-27 02:10:06.433427,Refund Request,Low,2.66,Neutral
TICK-105847,2025-03-27 02:22:21.422621,Technical Issue,Low,16.12,Neutral
TICK-104860,2025-03-27 02:30:47.286599,Shipping Update,Low,0.83,Neutral
TICK-104256,2025-03-27 03:58:18.942987,Refund Request,Low,1.43,Positive
TICK-101432,2025-03-27 05:52:59.201021,Refund Request,High,2.82,Positive
TICK-106071,2025-03-27 07:41:58.831313,Refund Request,Low,1.09,Neutral
TICK-108779,2025-03-27 10:24:20.510166,Product Question,Low,2.8,Neutral
TICK-104312,2025-03-27 11:20:19.030805,Shipping Update,Low,1.22,Positive
TICK-102381,2025-03-27 12:03:35.718013,Shipping Update,Medium,0.68,Positive
TICK-102194,2025-03-27 15:17:26.106424,Technical Issue,High,25.89,Positive
TICK-102411,2025-03-27 15:51:09.133328,Shipping Update,Medium,1.85,Negative
TICK-105969,2025-03-27 16:32:41.359420,Technical Issue,Medium,18.94,Positive
TICK-106971,2025-03-27 16:40:01.548962,Billing Inquiry,Low,4.9,Neutral
TICK-109463,2025-03-27 16:59:20.153094,Shipping Update,Medium,1.11,Neutral
TICK-108201,2025-03-27 17:36:02.105399,Technical Issue,Low,39.36,Positive
TICK-101688,2025-03-27 18:36:38.692032,Shipping Update,Low,1.12,Negative
TICK-109295,2025-03-27 18:55:24.806535,Product Question,High,2.02,Negative
TICK-100239,2025-03-27 18:59:06.448558,Product Question,Low,4.22,Neutral
TICK-109110,2025-03-27 19:52:28.832804,Product Question,Low,6.28,Neutral
TICK-108744,2025-03-27 20:49:49.182841,Shipping Update,Low,2.27,Positive
TICK-104085,2025-03-27 22:48:29.449565,Refund Request,Low,1.83,Neutral
TICK-108229,2025-03-28 00:51:56.716942,Product Question,Low,4.03,Neutral
TICK-105164,2025-03-28 02:58:07.694677,Shipping Update,Medium,1.37,Neutral
TICK-102575,2025-03-28 08:56:42.107954,Shipping Update,Low,0.64,Neutral
TICK-101400,2025-03-28 09:58:45.710492,Product Question,Low,1.97,Positive
TICK-101319,2025-03-28 10:39:28.902387,Refund Request,Low,1.86,Neutral
TICK-101803,2025-03-28 12:07:09.636553,Refund Request,Medium,1.09,Positive
TICK-104981,2025-03-28 12:44:32.781732,Shipping Update,Low,1.43,Negative
TICK-105888,2025-03-28 13:53:56.356344,Product Question,Low,1.21,Positive
TICK-108037,2025-03-28 14:31:18.824023,Product Question,Low,1.71,Negative
TICK-109820,2025-03-28 14:34:21.685683,Shipping Update,Medium,1.13,Neutral
TICK-102296,2025-03-28 14:53:35.591863,Billing Inquiry,Low,5.91,Negative
TICK-105402,2025-03-28 15:42:08.574675,Refund Request,Low,2.48,Neutral
TICK-106200,2025-03-28 16:43:53.307840,Refund Request,Low,1.6,Negative
TICK-109270,2025-03-28 16:51:47.785445,Shipping Update,Low,1.82,Negative
TICK-100352,2025-03-28 17:01:53.008461,Product Question,Low,4.23,Positive
TICK-102015,2025-03-28 18:44:21.011752,Shipping Update,Low,0.93,Negative
TICK-102703,2025-03-28 19:07:33.322909,Billing Inquiry,Medium,7.53,Neutral
TICK-102966,2025-03-28 19:31:05.645062,Refund Request,Low,2.3,Neutral
TICK-104162,2025-03-28 21:06:59.678179,Billing Inquiry,Low,4.49,Positive
TICK-107251,2025-03-28 21:55:29.341774,Shipping Update,Low,0.74,Neutral
TICK-103667,2025-03-28 21:55:41.968564,Product Question,Medium,3.8,Negative
TICK-108565,2025-03-28 22:46:33.210305,Product Question,Medium,3.02,Negative
TICK-108616,2025-03-29 01:09:57.624242,Shipping Update,Medium,0.55,Positive
TICK-104872,2025-03-29 01:27:14.644782,Shipping Update,Low,0.61,Positive
TICK-103753,2025-03-29 02:21:04.855098,Billing Inquiry,Low,4.18,Positive
TICK-106705,2025-03-29 04:28:58.846064,Product Question,Medium,1.88,Negative
TICK-109374,2025-03-29 05:46:36.424373,Product Question,Medium,2.17,Negative
TICK-105084,2025-03-29 06:38:43.420114,Product Question,Low,4.4,Positive
TICK-104842,2025-03-29 08:15:33.738384,Product Question,Low,3.95,Neutral
TICK-108900,2025-03-29 08:37:01.700620,Shipping Update,Medium,0.95,Neutral
TICK-101180,2025-03-29 10:08:27.873272,Product Question,Medium,3.22,Positive
TICK-108679,2025-03-29 10:49:17.074783,Refund Request,Low,1.05,Neutral
TICK-109471,2025-03-29 11:28:44.280180,Billing Inquiry,Low,9.39,Neutral
TICK-107609,2025-03-29 11:32:22.848252,Billing Inquiry,High,4.9,Neutral
TICK-101576,2025-03-29 12:01:22.107589,Refund Request,Medium,1.05,Neutral
TICK-106920,2025-03-29 12:42:12.131496,Shipping Update,Low,1.11,Negative
TICK-109575,2025-03-29 14:51:19.355863,Technical Issue,Low,17.11,Neutral
TICK-101776,2025-03-29 15:15:58.671862,Refund Request,Low,1.57,Negative
TICK-101184,2025-03-29 16:11:01.764885,Billing Inquiry,Medium,3.37,Neutral
TICK-103249,2025-03-29 17:44:16.484556,Refund Request,Low,0.95,Neutral
TICK-107021,2025-03-29 19:27:41.380173,Product Question,Medium,1.57,Neutral
TICK-102879,2025-03-29 19:41:57.150358,Refund Request,Low,1.86,Negative
TICK-101065,2025-03-29 22:48:54.822140,Shipping Update,Medium,0.64,Negative
TICK-104949,2025-03-29 23:35:02.663360,Billing Inquiry,Medium,5.95,Neutral
TICK-102634,2025-03-30 00:30:22.520571,Technical Issue,Low,47.37,Neutral
TICK-100801,2025-03-30 00:42:58.887401,Refund Request,Medium,1.63,Positive
TICK-109104,2025-03-30 03:06:25.569645,Product Question,Medium,2.02,Positive
TICK-100132,2025-03-30 03:35:11.967510,Shipping Update,Low,0.65,Neutral
TICK-107992,2025-03-30 04:19:25.298499,Billing Inquiry,Medium,9.63,Negative
TICK-109938,2025-03-30 05:04:26.063883,Product Question,High,1.81,Negative
TICK-107739,2025-03-30 07:27:17.138607,Shipping Update,Medium,1.28,Negative
TICK-109317,2025-03-30 08:17:57.358996,Shipping Update,Low,0.67,Positive
TICK-105287,2025-03-30 09:23:00.553019,Product Question,Low,5.18,Positive
TICK-105893,2025-03-30 11:13:05.485947,Refund Request,Low,1.09,Neutral
TICK-106224,2025-03-30 15:27:43.719003,Shipping Update,Medium,1.23,Neutral
TICK-105809,2025-03-30 15:53:36.542992,Product Question,Medium,2.74,Neutral
TICK-100709,2025-03-30 16:01:38.304141,Shipping Update,High,1.97,Neutral
TICK-100733,2025-03-30 17:00:52.837233,Product Question,High,1.52,Negative
TICK-109026,2025-03-30 18:07:53.203005,Shipping Update,Medium,0.84,Positive
TICK-106865,2025-03-30 22:02:48.150801,Shipping Update,Low,1.51,Neutral
TICK-109572,2025-03-30 22:08:42.960661,Refund Request,Low,1.64,Neutral
TICK-106246,2025-03-30 22:23:51.478203,Billing Inquiry,Low,6.2,Neutral
TICK-105720,2025-03-30 22:47:44.138909,Shipping Update,Low,0.84,Negative
TICK-103781,2025-03-31 00:13:00.898468,Technical Issue,Medium,21.06,Neutral
TICK-107383,2025-03-31 01:17:14.229808,Shipping Update,Low,0.73,Neutral
TICK-104321,2025-03-31 01:49:02.214479,Shipping Update,Low,0.96,Neutral
TICK-107221,2025-03-31 01:53:30.096841,Billing Inquiry,Low,2.01,Negative
TICK-108090,2025-03-31 02:24:44.429240,Refund Request,Low,1.31,Neutral
TICK-102065,2025-03-31 02:46:19.686115,Product Question,Low,2.38,Neutral
TICK-102337,2025-03-31 02:52:19.630969,Product Question,Low,3.06,Negative
TICK-109278,2025-03-31 03:26:47.970857,Billing Inquiry,Low,4.16,Neutral
TICK-104846,2025-03-31 03:47:14.510705,Technical Issue,Medium,10.04,Neutral
TICK-106001,2025-03-31 03:56:10.006381,Shipping Update,Low,0.78,Neutral
TICK-101900,2025-03-31 04:38:19.345802,Refund Request,High,2.64,Positive
TICK-103684,2025-03-31 04:51:04.404230,Shipping Update,Low,1.27,Neutral
TICK-104179,2025-03-31 05:48:38.579152,Product Question,Low,2.62,Negative
TICK-105033,2025-03-31 05:59:50.042622,Refund Request,Low,2.48,Neutral
TICK-104878,2025-03-31 07:11:41.257646,Shipping Update,Low,0.76,Neutral
TICK-108164,2025-03-31 08:23:36.351058,Shipping Update,High,0.49,Neutral
TICK-102823,2025-03-31 08:50:45.639279,Product Question,Medium,1.71,Neutral
TICK-106724,2025-03-31 09:19:38.766987,Shipping Update,Low,0.82,Neutral
TICK-103004,2025-03-31 12:33:46.272447,Technical Issue,Low,29.98,Negative
TICK-101435,2025-03-31 14:55:11.048797,Product Question,Medium,3.36,Negative
TICK-108327,2025-03-31 15:10:57.747087,Shipping Update,Low,0.91,Negative
TICK-107758,2025-03-31 15:11:07.107907,Shipping Update,Low,0.57,Negative
TICK-100081,2025-03-31 18:11:10.450117,Refund Request,Low,2.31,Negative
TICK-101271,2025-03-31 19:29:10.794026,Product Question,Low,3.83,Positive
TICK-104807,2025-03-31 19:38:05.332692,Billing Inquiry,Low,6.49,Negative
TICK-106086,2025-03-31 22:19:48.436653,Shipping Update,Low,0.88,Positive
TICK-100906,2025-03-31 22:26:29.987897,Shipping Update,Medium,0.58,Positive
TICK-108860,2025-04-01 00:44:21.481156,Shipping Update,High,1.13,Positive
TICK-108746,2025-04-01 01:05:53.318302,Billing Inquiry,Medium,4.81,Negative
TICK-103850,2025-04-01 01:49:58.487086,Product Question,Low,2.43,Negative
TICK-105537,2025-04-01 03:19:56.912055,Technical Issue,Low,20.83,Negative
TICK-109169,2025-04-01 03:20:46.285383,Technical Issue,Low,27.52,Positive
TICK-101655,2025-04-01 04:29:10.690462,Refund Request,Medium,1.78,Neutral
TICK-102530,2025-04-01 04:44:54.677879,Product Question,Medium,3.63,Negative
TICK-106517,2025-04-01 04:48:10.157873,Shipping Update,Low,1.06,Positive
TICK-105623,2025-04-01 05:59:35.981955,Refund Request,Low,2.42,Neutral
TICK-109375,2025-04-01 06:16:22.439688,Shipping Update,Medium,0.66,Negative
TICK-103659,2025-04-01 07:01:10.430077,Product Question,Low,7.27,Neutral
TICK-100389,2025-04-01 07:18:20.810721,Product Question,Low,2.38,Negative
TICK-108881,2025-04-01 07:26:59.408800,Product Question,Low,2.59,Positive
TICK-102225,2025-04-01 07:51:23.024783,Technical Issue,Low,40.71,Negative
TICK-107237,2025-04-01 08:34:01.493377,Product Question,High,3.35,Neutral
TICK-104389,2025-04-01 08:55:57.988406,Shipping Update,High,1.26,Neutral
TICK-100003,2025-04-01 09:30:46.081246,Shipping Update,Medium,1.84,Neutral
TICK-105175,2025-04-01 11:41:09.696288,Shipping Update,Low,2.06,Neutral
TICK-108237,2025-04-01 12:23:08.614941,Refund Request,Low,1.35,Neutral
TICK-105552,2025-04-01 12:43:02.234499,Shipping Update,Low,0.93,Negative
TICK-107640,2025-04-01 13:27:04.287447,Product Question,Medium,1.31,Neutral
TICK-100126,2025-04-01 14:28:17.874684,Product Question,Low,2.02,Neutral
TICK-106172,2025-04-01 14:59:28.534620,Shipping Update,Low,0.86,Neutral
TICK-101783,2025-04-01 15:04:38.465368,Shipping Update,Low,1.36,Neutral
TICK-105339,2025-04-01 15:05:39.874369,Shipping Update,Low,1.36,Positive
TICK-106096,2025-04-01 15:26:41.798764,Shipping Update,Low,0.63,Neutral
TICK-104977,2025-04-01 16:20:59.920492,Shipping Update,Medium,1.05,Neutral
TICK-102596,2025-04-01 16:38:41.273986,Billing Inquiry,High,3.92,Neutral
TICK-104015,2025-04-01 17:20:21.507031,Billing Inquiry,Medium,3.97,Positive
TICK-106244,2025-04-01 17:55:33.184003,Refund Request,Low,1.57,Neutral
TICK-108194,2025-04-01 18:07:33.011726,Refund Request,Low,2.09,Negative
TICK-108116,2025-04-01 20:18:18.333867,Shipping Update,Low,0.67,Negative
TICK-108641,2025-04-01 21:06:05.023616,Refund Request,Low,1.47,Positive
TICK-102837,2025-04-01 22:22:44.111717,Shipping Update,Low,1.92,Neutral
TICK-106099,2025-04-02 01:01:31.431431,Product Question,Low,2.25,Neutral
TICK-106669,2025-04-02 01:17:33.412999,Refund Request,Low,2.65,Neutral
TICK-100402,2025-04-02 01:36:34.055675,Shipping Update,Medium,1.0,Neutral
TICK-102736,2025-04-02 03:12:03.611545,Product Question,High,2.62,Negative
TICK-101081,2025-04-02 03:20:32.037972,Refund Request,Medium,1.74,Neutral
TICK-106334,2025-04-02 04:17:37.574328,Refund Request,Medium,1.91,Neutral
TICK-101513,2025-04-02 04:59:28.507174,Billing Inquiry,Low,2.37,Negative
TICK-106706,2025-04-02 05:09:20.660688,Product Question,Low,2.54,Neutral
TICK-105937,2025-04-02 05:11:05.171107,Refund Request,Low,1.06,Neutral
TICK-102699,2025-04-02 05:40:10.431238,Billing Inquiry,Low,8.51,Negative
TICK-106257,2025-04-02 06:14:57.651318,Technical Issue,Medium,14.01,Positive
TICK-109434,2025-04-02 06:27:33.647373,Shipping Update,Medium,1.85,Positive
TICK-108484,2025-04-02 06:59:15.357572,Product Question,Low,6.63,Negative
TICK-107161,2025-04-02 07:09:45.739127,Refund Request,Low,1.95,Positive
TICK-106843,2025-04-02 07:35:10.203465,Shipping Update,Low,0.71,Positive
TICK-101258,2025-04-02 08:07:33.494102,Shipping Update,Low,0.75,Neutral
TICK-107278,2025-04-02 10:23:50.142622,Refund Request,Low,1.94,Neutral
TICK-102795,2025-04-02 12:02:35.960009,Product Question,Low,2.14,Neutral
TICK-103988,2025-04-02 13:05:23.814212,Shipping Update,Low,2.16,Positive
TICK-101728,2025-04-02 13:46:51.407640,Shipping Update,Low,1.16,Negative
TICK-107487,2025-04-02 14:25:51.008125,Product Question,Low,3.61,Negative
TICK-102350,2025-04-02 15:19:54.016060,Shipping Update,Low,1.53,Negative
TICK-107677,2025-04-02 15:31:44.235160,Product Question,Low,0.71,Positive
TICK-101858,2025-04-02 16:00:42.418384,Shipping Update,Low,1.12,Positive
TICK-109105,2025-04-02 17:14:39.089130,Refund Request,Low,1.74,Negative
TICK-108633,2025-04-02 17:22:01.089420,Shipping Update,Low,1.58,Neutral
TICK-102227,2025-04-02 17:29:04.933916,Shipping Update,Low,0.79,Positive
TICK-101294,2025-04-02 18:10:17.414729,Product Question,Low,3.1,Neutral
TICK-108186,2025-04-02 18:40:17.125885,Billing Inquiry,High,6.25,Positive
TICK-105436,2025-04-02 19:20:01.120046,Product Question,Medium,2.93,Negative
TICK-106327,2025-04-02 20:17:10.398202,Technical Issue,Medium,30.74,Negative
TICK-107968,2025-04-02 20:29:20.907973,Product Question,Medium,2.55,Positive
TICK-103469,2025-04-02 21:04:27.860864,Technical Issue,Low,21.99,Neutral
TICK-109439,2025-04-02 21:34:31.831865,Product Question,Medium,2.88,Negative
TICK-108723,2025-04-02 21:54:37.736902,Shipping Update,Low,1.14,Neutral
TICK-108695,2025-04-02 23:26:44.364676,Shipping Update,Low,1.44,Neutral
TICK-109705,2025-04-03 00:04:43.529219,Refund Request,High,1.45,Neutral
TICK-107522,2025-04-03 00:20:41.658446,Billing Inquiry,High,5.37,Neutral
TICK-103307,2025-04-03 01:28:16.738921,Shipping Update,Low,1.16,Negative
TICK-107446,2025-04-03 02:04:37.833232,Shipping Update,Low,1.36,Neutral
TICK-101265,2025-04-03 02:08:04.662934,Technical Issue,Medium,13.63,Negative
TICK-109526,2025-04-03 02:08:15.964693,Billing Inquiry,Medium,3.11,Positive
TICK-102277,2025-04-03 03:26:57.879995,Product Question,Low,1.89,Negative
TICK-106725,2025-04-03 03:41:23.600253,Technical Issue,Medium,38.74,Neutral
TICK-103495,2025-04-03 03:56:32.039889,Billing Inquiry,Low,10.84,Positive
TICK-108250,2025-04-03 04:00:22.337822,Shipping Update,Low,0.85,Neutral
TICK-103312,2025-04-03 05:09:20.599087,Shipping Update,Low,2.3,Negative
TICK-106753,2025-04-03 05:34:38.496364,Shipping Update,Medium,1.16,Neutral
TICK-107666,2025-04-03 06:47:15.267874,Refund Request,Low,1.32,Neutral
TICK-109812,2025-04-03 06:59:29.656148,Product Question,Low,3.5,Positive
TICK-102899,2025-04-03 10:06:49.323244,Product Question,Medium,3.37,Negative
TICK-106149,2025-04-03 10:20:42.873310,Technical Issue,Medium,26.6,Negative
TICK-101209,2025-04-03 11:23:18.931864,Refund Request,Low,4.03,Neutral
TICK-102792,2025-04-03 11:42:44.400188,Billing Inquiry,High,4.24,Neutral
TICK-100909,2025-04-03 12:03:41.843226,Billing Inquiry,Low,11.88,Negative
TICK-104831,2025-04-03 14:00:42.289193,Shipping Update,Medium,0.62,Positive
TICK-107705,2025-04-03 14:02:38.143055,Shipping Update,High,0.89,Negative
TICK-108977,2025-04-03 16:30:46.289720,Billing Inquiry,Low,4.9,Positive
TICK-100543,2025-04-03 17:16:38.280216,Technical Issue,Low,42.72,Negative
TICK-104457,2025-04-03 18:22:03.510472,Product Question,Low,1.76,Neutral
TICK-105199,2025-04-03 18:57:27.916685,Shipping Update,Low,1.45,Neutral
TICK-104125,2025-04-03 19:53:27.362570,Product Question,Medium,1.94,Neutral
TICK-109247,2025-04-03 20:12:44.168028,Product Question,Medium,2.02,Positive
TICK-105146,2025-04-03 20:28:10.519766,Billing Inquiry,Low,4.76,Neutral
TICK-107033,2025-04-03 20:33:00.461618,Shipping Update,Medium,0.68,Neutral
TICK-106217,2025-04-03 20:42:00.757911,Shipping Update,Low,0.62,Negative
TICK-109536,2025-04-03 20:56:51.638385,Refund Request,Low,1.45,Neutral
TICK-101834,2025-04-03 21:08:53.893888,Shipping Update,Medium,0.78,Positive
TICK-106979,2025-04-03 21:27:53.975950,Shipping Update,Low,0.46,Neutral
TICK-108624,2025-04-03 23:11:39.180709,Shipping Update,Medium,1.5,Negative
TICK-106388,2025-04-03 23:16:17.872529,Shipping Update,Low,1.4,Negative
TICK-101430,2025-04-03 23:34:25.544861,Product Question,Low,3.39,Negative
TICK-102348,2025-04-04 00:47:43.444532,Product Question,Low,3.96,Neutral
TICK-103882,2025-04-04 01:03:07.210672,Shipping Update,Medium,0.48,Neutral
TICK-103494,2025-04-04 01:27:43.906736,Shipping Update,Low,1.23,Positive
TICK-105251,2025-04-04 02:30:19.833391,Technical Issue,Low,19.35,Neutral
TICK-107365,2025-04-04 03:09:17.126021,Refund Request,Low,2.72,Positive
TICK-109554,2025-04-04 04:42:08.866276,Shipping Update,Low,0.84,Neutral
TICK-105040,2025-04-04 08:06:28.914287,Shipping Update,Medium,1.22,Neutral
TICK-104804,2025-04-04 08:13:03.196046,Product Question,Low,2.7,Positive
TICK-104773,2025-04-04 12:39:47.728214,Shipping Update,Low,1.01,Neutral
TICK-100814,2025-04-04 14:27:07.877502,Refund Request,Low,3.02,Positive
TICK-107362,2025-04-04 14:40:49.220716,Billing Inquiry,Medium,7.64,Negative
TICK-102501,2025-04-04 14:49:46.134262,Technical Issue,High,35.35,Neutral
TICK-102396,2025-04-04 17:41:03.169632,Shipping Update,Low,0.69,Positive
TICK-105472,2025-04-04 19:38:34.865757,Billing Inquiry,Medium,4.31,Neutral
TICK-107636,2025-04-04 21:06:32.103256,Product Question,Low,1.93,Negative
TICK-105965,2025-04-04 21:32:49.347358,Shipping Update,Low,1.05,Negative
